seed,scenario,controller,p95_ms,p99_ms,violation_pct,served_iops,queue_depth,actions,fairness,decision_us
10,nominal,static,10.7095961657071,12.819062077134246,28.993055555555557,17746.543052829322,40.74322360254282,0,0.9608478478273881,0.09102638888888889
10,nominal,reactive,9.311875784762305,11.146033136306407,0.625,17774.33032180762,19.989031157085254,8,0.9999812220346009,1.9288708333333333
10,nominal,predictive,7.1604292846788224,8.570816871054948,0.0,17797.592704146427,0.7921446741235905,44,1.0,19.143294444444443
10,nominal,predictive_no_forecast,7.196134135727214,8.613554495794702,0.0,17793.994949698455,1.4646777491647638,13,1.0,2.572848611111111
10,nominal,mpc,7.532487843904605,9.016159691946422,0.06944444444444445,17790.945279068783,4.887804551798253,25,0.9999966487725227,19.53932638888889
11,nominal,static,10.88956924277646,13.034484396656689,22.01388888888889,17792.824445566912,45.30409145946174,0,0.9420244470905066,0.08816388888888889
11,nominal,reactive,10.401606261851224,12.450407495246155,2.5347222222222223,17805.98778748273,29.198071724028054,18,0.9998525607774235,2.055465277777778
11,nominal,predictive,7.369315647762778,8.820847517776658,0.0,17833.043983278058,3.2082775914232777,42,1.0,19.228012500000002
11,nominal,predictive_no_forecast,7.4672625831694415,8.93808703136948,0.0,17831.60129368396,4.6284257546357574,17,1.0,2.663205555555556
11,nominal,mpc,8.160166232374502,9.767471702387658,0.45138888888888884,17825.880187539253,11.315244760660846,26,0.9999670753894304,19.58611388888889
12,nominal,static,9.743073638055067,11.662163900096212,17.98611111111111,17794.228138759514,31.646861578023344,0,0.9643868293435233,0.088525
12,nominal,reactive,8.60334488185916,10.297943116164776,0.1388888888888889,17815.67615383674,13.137042339657677,2,0.9999965782640702,1.7689708333333334
12,nominal,predictive,7.441223812963004,8.906919412486001,0.0,17827.300696501094,4.039673115240002,45,1.0,19.075080555555555
12,nominal,predictive_no_forecast,7.316954779256289,8.75817314486737,0.0,17827.720409757676,2.642020346645424,14,1.0,2.5742291666666666
12,nominal,mpc,7.445145212070213,8.91161320838708,0.3125,17823.332176902157,4.145472438533476,25,0.9999804365455258,19.584029166666667
13,nominal,static,9.53050233630968,11.40772249346157,19.618055555555554,17785.014710965042,29.838796556152253,0,0.9659883301815747,0.08925972222222223
13,nominal,reactive,9.536292939665532,11.414653670205704,0.7291666666666666,17811.333622407612,21.03482083610887,8,0.9999844441390386,1.8811777777777776
13,nominal,predictive,7.269514205518203,8.701388215696037,0.0,17832.308011849156,2.3085441795801835,47,1.0,19.091594444444443
13,nominal,predictive_no_forecast,7.469841958729893,8.941174465752454,0.0,17829.941563047203,4.476139924399339,16,1.0,2.611365277777778
13,nominal,mpc,7.780821027738867,9.313406987748033,1.215277777777778,17826.608792062947,8.398602656967958,29,0.9999627438438466,19.670448611111112
14,nominal,static,12.215273945743254,14.621312753238147,25.555555555555554,17758.351145502573,49.91406745732426,0,0.9596744504999596,0.09144722222222222
14,nominal,reactive,9.858688923321772,11.800551893066958,13.29861111111111,17800.672590480917,27.53505256976079,77,0.9984122416140285,3.0515208333333335
14,nominal,predictive,7.6046983433326485,9.102593471564836,0.10416666666666667,17818.174140350413,5.591504264006701,48,0.9999999000260291,19.256420833333333
14,nominal,predictive_no_forecast,7.768420908275366,9.29856442051141,0.2777777777777778,17815.938984172604,7.29672058293506,18,0.9999955195337195,2.6469944444444446
14,nominal,mpc,9.442271268926135,11.302112579472176,14.340277777777777,17803.214417371313,18.23266697662655,28,0.9995571452616675,19.447208333333332
15,nominal,static,9.718170009391141,11.632355011240916,19.930555555555557,17786.211681155826,31.301046998987957,0,0.9668418197745486,0.0892388888888889
15,nominal,reactive,9.385706661387616,11.234406458327598,0.5555555555555556,17804.396919189534,19.92375365370341,8,0.999991330971363,1.8745180555555556
15,nominal,predictive,7.358633670294188,8.80806151444304,0.0,17825.067441192285,3.0638636075914243,46,1.0,19.221484722222222
15,nominal,predictive_no_forecast,7.36251039329006,8.812701834392646,0.0,17826.267403364356,3.463732277053307,17,1.0,2.6369888888888893
15,nominal,mpc,8.295153742217208,9.929047661138783,8.159722222222223,17811.76646094546,14.452230358210917,27,0.9964891199052186,19.417424999999998
16,nominal,static,10.408032872052983,12.458099952911915,21.666666666666668,17764.17991638666,39.41895679058559,0,0.9536308936968427,0.08690833333333334
16,nominal,reactive,9.805817360163564,11.737266234135157,1.1111111111111112,17786.454892185317,23.920466809996185,12,0.999973333662652,1.9434555555555555
16,nominal,predictive,7.0921339204758045,8.48906938966042,0.0,17813.44141786115,0.15206525194956277,38,1.0,19.281354166666667
16,nominal,predictive_no_forecast,7.495239134323717,8.971574115326874,0.3125,17808.5380378639,4.991791303015902,14,0.9999942762881744,2.5823013888888893
16,nominal,mpc,7.582383104903732,9.075882807384763,0.4166666666666667,17805.983752616263,5.814185466107189,27,0.9999733141351383,19.67636111111111
17,nominal,static,9.66839297727045,11.572773412187374,17.53472222222222,17774.185177662774,30.82736001310839,0,0.9669622102552312,0.09003888888888889
17,nominal,reactive,9.607788055312197,11.500231157116106,10.625,17802.55111816143,28.075040047011427,61,0.9815356495597408,2.836233333333333
17,nominal,predictive,7.921513084497474,9.481811116292429,10.208333333333334,17818.704357389444,9.404863641428944,41,0.9990757076000436,19.28322222222222
17,nominal,predictive_no_forecast,7.998578322379211,9.574055870726635,10.243055555555555,17816.775257211077,10.97368555621864,15,0.9978982576148133,2.6122708333333335
17,nominal,mpc,9.20366163618789,11.016504079679454,11.041666666666666,17806.350763353883,22.937212230718593,22,0.9921199066568911,19.53373611111111
18,nominal,static,12.393412469815793,14.83453916841587,22.46527777777778,17767.121828815223,52.702931431339884,0,0.9437291943451553,0.08747083333333333
18,nominal,reactive,11.130761847885749,13.32318463610566,7.534722222222221,17794.304489515805,32.43720961868897,52,0.999778371741661,2.6418472222222222
18,nominal,predictive,7.512405112790522,8.992121271370463,0.06944444444444445,17816.538277334846,4.999083146968503,45,0.9999997361642591,19.352297222222223
18,nominal,predictive_no_forecast,7.900253840172734,9.456364445055245,0.5208333333333333,17813.83089032036,8.98697258382834,19,0.9999588795880601,2.6870430555555553
18,nominal,mpc,7.965910132128275,9.534953036941408,0.4166666666666667,17812.750481983385,9.137073710549386,29,0.999973124972555,19.5998
19,nominal,static,10.469061348253199,12.531149189575787,21.28472222222222,17783.003873397378,39.90879267465101,0,0.9521787104696985,0.08929444444444445
19,nominal,reactive,9.106707723542643,10.900453184240433,0.3125,17803.312686510646,18.219220109182533,3,0.9999968467096884,1.8062347222222221
19,nominal,predictive,7.474517725081063,8.946771216384914,0.0,17820.23357484058,4.401880758212987,45,1.0,19.331618055555555
19,nominal,predictive_no_forecast,7.338915992435814,8.784460051551958,0.0,17820.776651847806,2.7069441349856413,16,1.0,2.6316055555555553
19,nominal,mpc,7.796774212274057,9.332502466206844,0.4861111111111111,17817.163543907653,8.698167328341281,26,0.9999755680196092,19.543204166666666
20,nominal,static,10.484746561574054,12.549923914611364,17.98611111111111,17734.67268610347,37.990850794231655,0,0.9624038423220214,0.08708611111111111
20,nominal,reactive,8.210368506971529,9.827562303799263,8.090277777777779,17774.50059825711,12.891077599664658,50,0.9995944542368711,2.590205555555556
20,nominal,predictive,7.264551283291169,8.695447748181861,0.0,17785.033236919484,1.970330487496661,43,1.0,19.258579166666667
20,nominal,predictive_no_forecast,7.746892599656211,9.272795687467287,0.6597222222222222,17779.97770835796,7.846865113378029,17,0.9999526347543751,2.6596666666666664
20,nominal,mpc,8.45438601401934,10.119643865265562,11.458333333333332,17770.588749668896,15.673367524319044,27,0.9934191150723551,19.6156625
21,nominal,static,10.909457724920324,13.058290307101583,23.71527777777778,17803.67947941644,44.80420612382439,0,0.9474496009820392,0.08917777777777777
21,nominal,reactive,9.665608669558226,11.569440680228768,2.361111111111111,17823.574532090846,22.705200429761835,19,0.9999338131449603,2.106426388888889
21,nominal,predictive,7.173623570595036,8.58661003146982,0.0,17845.076948245453,0.6627706469528587,42,1.0,19.579683333333335
21,nominal,predictive_no_forecast,7.698434361649702,9.21479264500494,0.24305555555555555,17840.039717950272,7.358216681834393,16,0.9999970364804522,2.6604263888888893
21,nominal,mpc,7.974120018157565,9.544780021734063,0.10416666666666667,17835.8673379277,9.80329898521969,25,0.9999972953527706,19.779808333333335
22,nominal,static,10.43205361801359,12.48685205792534,16.73611111111111,17788.827826687317,35.47517554224895,0,0.9609307131936878,0.08802222222222222
22,nominal,reactive,9.864749641383224,11.807806388928412,13.333333333333334,17809.984567084888,20.96688594228807,74,0.9979287380588954,3.043011111111111
22,nominal,predictive,7.367179413057129,8.818290509568383,0.0,17830.133390106355,3.125896755951211,39,1.0,19.487945833333335
22,nominal,predictive_no_forecast,7.39847449958325,8.85574977980418,0.10416666666666667,17827.115373132714,4.054881329581185,13,0.9999978771511113,2.6043583333333333
22,nominal,mpc,7.790950812541558,9.325532033193673,3.784722222222222,17820.819692184723,8.180072202894685,28,0.9995569997686157,19.903754166666666
23,nominal,static,11.135639683085113,13.329023257026122,30.555555555555557,17765.79249641718,46.8960020032766,0,0.9515299258049205,0.09239583333333333
23,nominal,reactive,8.8373485084767,10.578038366206945,5.729166666666666,17800.302391067697,17.428717958807297,39,0.999861748433022,2.4219625000000002
23,nominal,predictive,7.234031814524187,8.658916868900176,0.0,17824.549017820136,1.549556037133321,43,1.0,19.492551388888888
23,nominal,predictive_no_forecast,7.330886330140599,8.77484878910767,0.0,17823.79962280472,2.66144768741343,12,1.0,2.6046305555555556
23,nominal,mpc,7.622460331335426,9.123854032962099,0.0,17820.342458002156,5.756525765292986,21,1.0,19.673161111111114
24,nominal,static,9.51916078787817,11.394147003672336,11.944444444444445,17770.376060596995,28.618079212470647,0,0.964150678482062,0.09238055555555556
24,nominal,reactive,8.250931521735668,9.876115003289668,11.944444444444445,17826.05024723842,13.517426989283944,69,0.996912750807004,2.9680916666666666
24,nominal,predictive,7.269111150181412,8.700905770671696,0.0,17836.209358965607,1.8446908140556761,49,1.0,19.624891666666667
24,nominal,predictive_no_forecast,7.309990255501541,8.749836820979128,0.0,17836.099117822967,2.5804241587422805,21,1.0,2.7255652777777777
24,nominal,mpc,7.558349589583393,9.047115417834673,0.45138888888888884,17831.54431503295,5.304630708976489,30,0.9999721122825155,19.832697222222222
25,nominal,static,9.412967557763812,11.267036925202122,19.51388888888889,17810.21270303091,27.8820062185844,0,0.9734443474063631,0.09211111111111112
25,nominal,reactive,9.628779062554345,11.525356756693848,0.4166666666666667,17826.74154890626,21.637800811742903,7,0.9999898155284411,1.9014055555555556
25,nominal,predictive,7.16681879448762,8.578464920674573,0.0,17847.62391307182,0.9142666284522535,50,1.0,19.70959861111111
25,nominal,predictive_no_forecast,7.087818312428427,8.48390373760371,0.0,17848.750838863743,0.0,14,1.0,2.6050291666666667
25,nominal,mpc,7.464077297861592,8.934274341379771,0.1736111111111111,17842.432600427375,4.352769671248151,31,0.9999915899863402,19.555901388888888
26,nominal,static,8.630368902945902,10.330290050495865,14.930555555555555,17787.80893313594,19.212350633645094,0,0.9867880228028755,0.09020277777777778
26,nominal,reactive,8.376762027789615,10.026730305990604,2.7777777777777777,17815.91511154818,13.002569957023448,18,0.9997345615665055,2.071427777777778
26,nominal,predictive,7.328181562249354,8.771611263904525,0.10416666666666667,17827.517171218493,2.559381504577203,39,0.9999985294726331,19.191956944444446
26,nominal,predictive_no_forecast,7.195308560174634,8.612566306875694,0.0,17830.684593251386,1.0297983415483907,14,1.0,2.7025124999999997
26,nominal,mpc,7.45874021293541,8.927886012452994,0.20833333333333334,17823.797330510413,3.3916285769340346,22,0.9999847009837117,20.1891
27,nominal,static,10.013547742606537,11.985913207059323,19.270833333333336,17804.70371521053,34.6228337257667,0,0.9599720387674987,0.09037222222222221
27,nominal,reactive,9.182902039320446,10.991655471307798,0.5208333333333333,17813.316950652767,18.769991913080595,8,0.9999842630659195,1.8748763888888889
27,nominal,predictive,7.125237096315391,8.528692888013884,0.0,17838.7027672958,0.1906139344893235,43,1.0,19.313354166666667
27,nominal,predictive_no_forecast,7.310408152721963,8.750337031288414,0.0,17837.80017451687,1.8169840779979534,14,1.0,2.6064680555555557
27,nominal,mpc,7.429883646019902,8.893345576296547,0.0,17834.659343271647,3.3117579160476023,24,1.0,19.40341111111111
28,nominal,static,10.677364201309832,12.780481392476903,17.291666666666668,17764.296955672733,40.27976768811816,0,0.9488674048242147,0.09058472222222222
28,nominal,reactive,9.566004420969177,11.450217412978274,4.236111111111112,17802.044953389042,21.589682999311098,26,0.9997348790095287,2.2047833333333333
28,nominal,predictive,7.350374482393171,8.798175516803935,0.0,17823.335857772905,2.9331165068872123,41,1.0,19.199765277777775
28,nominal,predictive_no_forecast,7.491148235752108,8.966677433703284,0.06944444444444445,17821.807700827336,5.114744573696508,10,0.9999996928539987,2.5804513888888887
28,nominal,mpc,8.067504707931096,9.656558665553877,15.034722222222221,17817.436940863096,11.101421551353768,28,0.9992623816956888,19.603593055555557
29,nominal,static,9.35980060541421,11.203397694359445,19.65277777777778,17793.268084580843,27.709227203686083,0,0.9714855627959416,0.09644722222222223
29,nominal,reactive,9.03749450534778,10.81760705943145,0.3819444444444444,17811.11538375568,17.335132009288525,7,0.9999979327255237,1.9174208333333334
29,nominal,predictive,7.549187611123758,9.03614880725418,0.0,17827.361122939205,4.553600531553314,43,1.0,19.859325000000002
29,nominal,predictive_no_forecast,7.236941415850663,8.662399573518224,0.0,17828.580494381527,1.2948430554796178,15,1.0,2.5876694444444444
29,nominal,mpc,7.470059899580531,8.941435334346393,0.1736111111111111,17823.186642317298,4.081390132768235,25,0.9999975326979074,19.606765277777775
30,nominal,static,10.4741154777499,12.537198829427913,20.868055555555557,17797.19861679281,38.97386985286322,0,0.9615586415729347,0.08881111111111112
30,nominal,reactive,10.684237033835421,12.788707964742398,1.6666666666666667,17809.424686413495,28.944315471444266,14,0.9999533623328497,1.9730569444444446
30,nominal,predictive,7.164273031516198,8.575417719542122,0.0,17836.361803805394,0.6180182399171634,46,1.0,19.089516666666665
30,nominal,predictive_no_forecast,7.415362116988106,8.87596374609182,0.0,17833.149817462676,3.321565016205543,18,1.0,2.6420569444444446
30,nominal,mpc,7.6643032803041935,9.17393877490957,0.1388888888888889,17828.438659183565,6.213846756739272,26,0.9999942867397079,19.326384722222222
31,nominal,static,11.017857460705088,13.188041505995475,19.20138888888889,17779.885620407917,41.489247271412694,0,0.9519169737019302,0.09020277777777778
31,nominal,reactive,10.285496558585047,12.311427698912397,7.638888888888889,17790.012224620936,24.718203026580344,46,0.9929082505771387,2.5165208333333333
31,nominal,predictive,7.383079333788048,8.837322232867514,0.0,17821.83898895166,2.3958086794788582,44,1.0,19.026568055555554
31,nominal,predictive_no_forecast,7.3917878296401325,8.847746038508635,0.0,17820.498035570356,2.1632736526023244,15,1.0,2.5964
31,nominal,mpc,8.308516657019016,9.945042665219718,0.1388888888888889,17810.98209181035,9.237491139921826,25,0.9999984010512525,19.297808333333336
32,nominal,static,9.221015279333102,11.037275864656301,12.95138888888889,17778.297918139222,25.341307838030197,0,0.9700465738700251,0.08846805555555555
32,nominal,reactive,8.595439921958338,10.288481118707729,12.083333333333334,17804.394837408116,13.325480013173326,67,0.9992567507087281,2.8913152777777777
32,nominal,predictive,7.2662224135923745,8.697448040512084,0.0,17824.705202740613,1.8896398570528514,38,1.0,19.064231944444444
32,nominal,predictive_no_forecast,7.281900237718215,8.716213920905131,0.0,17824.23823349381,2.454429840209649,11,1.0,2.5705055555555556
32,nominal,mpc,7.538540379661183,9.02340439383686,0.1388888888888889,17821.252274789425,5.101531331824164,24,0.9999953304954412,19.3596125
33,nominal,static,10.132178098117995,12.127910147747306,19.96527777777778,17788.75578177858,35.99586999076023,0,0.9595876495895188,0.08898472222222222
33,nominal,reactive,9.48443289730007,11.352578771010714,0.6597222222222222,17808.731099927893,19.99033949366687,8,0.9999823214731436,1.8904305555555556
33,nominal,predictive,7.1030909096306765,8.50218457364884,0.0,17832.27702257714,0.6890059937292912,38,1.0,19.073981944444444
33,nominal,predictive_no_forecast,7.304077730060438,8.74275970719355,0.0,17829.2546526771,3.0335231591705027,14,1.0,2.5998361111111112
33,nominal,mpc,7.751565815286893,9.278389384964607,4.791666666666667,17817.24605267844,7.90208050811919,27,0.9962094128404129,19.736425
34,nominal,static,13.827686062009404,16.551321195435502,34.30555555555556,17762.555457133694,57.288003482173025,0,0.953060721513339,0.08845972222222223
34,nominal,reactive,11.31463731082541,13.543277993260698,14.0625,17792.779733623975,33.97882773152286,87,0.9990957065556826,3.2662458333333335
34,nominal,predictive,7.289847531492528,8.725726590725909,0.0,17812.41844791048,2.0739357295475553,42,1.0,19.557654166666666
34,nominal,predictive_no_forecast,7.468642130952676,8.939738308261544,0.0,17811.241607367236,4.1686266944932475,19,1.0,2.7085
34,nominal,mpc,7.618564314360096,9.119190618703746,0.0,17809.670021778267,5.566176544294409,26,1.0,19.763256944444446
35,nominal,static,9.074704567978738,10.862146376823036,19.34027777777778,17798.860814702057,24.18675585559177,0,0.9785617409287549,0.13037222222222222
35,nominal,reactive,9.778081247468084,11.704066947726957,0.3819444444444444,17813.474728965753,22.892511793432195,6,0.9999938691763604,1.9785333333333333
35,nominal,predictive,7.195426016583137,8.612706898637382,0.0,17836.872202198418,1.1107505704228857,43,1.0,19.396183333333333
35,nominal,predictive_no_forecast,7.2583715080605735,8.688050744496735,0.0,17835.20753206645,2.2491220125194715,17,1.0,2.646565277777778
35,nominal,mpc,7.79478710736579,9.33012396184693,0.9027777777777777,17828.387045766525,8.22309134072634,26,0.9999192314434188,20.268577777777775
36,nominal,static,10.4026094855909,12.451608323661834,20.48611111111111,17773.357443572986,39.29471979210393,0,0.9534619570438504,0.08897361111111111
36,nominal,reactive,10.614692416397146,12.705465165081419,6.979166666666667,17791.889885941517,29.297735987796734,51,0.9998025583564636,2.6240305555555556
36,nominal,predictive,7.200542313693333,8.618830951238984,0.0,17818.172457961475,1.253037692291789,44,1.0,19.334368055555554
